Row ID,Order Date,City,State,Category,Sub-Category,Sales,Quantity,Profit,Year_Month
8,2014-06-09,Los Angeles,California,Technology,Phones,907.152,6,90.71520000000004,2014-06
12,2014-06-09,Los Angeles,California,Technology,Phones,911.424,4,68.35680000000002,2014-06
20,2014-08-27,San Francisco,California,Technology,Phones,213.48,3,16.01099999999998,2014-08
27,2016-01-16,Los Angeles,California,Technology,Accessories,90.57,3,11.774100000000004,2016-01
41,2015-12-27,Houston,Texas,Technology,Phones,371.168,4,41.75639999999996,2015-12
42,2017-09-10,Naperville,Illinois,Technology,Phones,147.168,4,16.556399999999996,2017-09
45,2016-03-11,Eagan,Minnesota,Technology,Accessories,45.98,2,19.7714,2016-03
48,2016-06-20,Dover,Delaware,Technology,Accessories,45.0,3,4.950000000000001,2016-06
49,2016-06-20,Dover,Delaware,Technology,Phones,21.8,2,6.104000000000001,2016-06
60,2016-06-17,Troy,New York,Technology,Accessories,30.0,2,3.3000000000000007,2016-06
63,2015-11-24,Los Angeles,California,Technology,Accessories,13.98,2,6.151200000000001,2015-11
69,2014-12-05,Gilbert,Arizona,Technology,Phones,167.96800000000002,4,62.988,2014-12
87,2017-10-26,Rochester,Minnesota,Technology,Accessories,19.99,1,6.796599999999998,2017-10
91,2016-09-17,Los Angeles,California,Technology,Phones,73.584,2,8.278199999999998,2016-09
101,2016-08-29,Chicago,Illinois,Technology,Accessories,95.976,3,-10.79730000000001,2016-08
104,2015-11-13,Aurora,Colorado,Technology,Accessories,238.896,6,-26.87580000000001,2015-11
107,2017-11-23,Charlotte,North Carolina,Technology,Accessories,74.11200000000001,8,17.6016,2017-11
108,2017-11-23,Charlotte,North Carolina,Technology,Phones,27.992000000000004,1,2.0993999999999997,2017-11
110,2015-10-15,Orland Park,Illinois,Technology,Accessories,339.96000000000004,5,67.99199999999996,2015-10
124,2016-06-12,Wilmington,Delaware,Technology,Phones,68.04,7,19.7316,2016-06
131,2017-02-02,Columbus,Ohio,Technology,Phones,59.96999999999999,5,-11.993999999999993,2017-02
149,2016-12-05,Franklin,Wisconsin,Technology,Phones,149.97,3,5.9987999999999815,2016-12
153,2016-03-13,Scottsdale,Arizona,Technology,Phones,203.184,2,15.23879999999999,2016-03
162,2015-12-28,Philadelphia,Pennsylvania,Technology,Accessories,54.38400000000001,2,1.359599999999995,2015-12
171,2014-09-08,San Antonio,Texas,Technology,Phones,143.976,3,8.998500000000007,2014-09
182,2014-12-05,Decatur,Illinois,Technology,Accessories,408.744,7,76.63949999999998,2014-12
183,2014-11-19,Monroe,Louisiana,Technology,Phones,503.96,4,131.02960000000002,2014-11
184,2014-11-19,Monroe,Louisiana,Technology,Phones,149.95,5,41.986,2014-11
185,2014-11-19,Monroe,Louisiana,Technology,Accessories,29.0,2,7.25,2014-11
187,2014-08-26,Los Angeles,California,Technology,Accessories,176.8,8,22.98400000000001,2014-08
191,2015-10-12,New York City,New York,Technology,Phones,71.76,6,20.092800000000004,2015-10
206,2017-12-09,Whittier,California,Technology,Phones,444.768,4,44.476800000000026,2017-12
208,2017-12-01,Saginaw,Michigan,Technology,Phones,131.98,2,35.634600000000006,2017-12
212,2015-02-09,Dallas,Texas,Technology,Accessories,20.8,2,6.499999999999999,2015-02
215,2015-01-02,Medina,Ohio,Technology,Phones,62.982,3,-14.695800000000006,2015-01
217,2015-01-02,Medina,Ohio,Technology,Accessories,89.584,2,4.479200000000006,2015-01
219,2016-10-28,Los Angeles,California,Technology,Phones,302.376,3,22.678200000000015,2016-10
236,2017-04-07,Tampa,Florida,Technology,Accessories,617.9760000000001,3,-7.724700000000098,2017-04
241,2016-06-04,Chicago,Illinois,Technology,Phones,31.984,2,11.194399999999998,2016-06
258,2015-11-28,Chicago,Illinois,Technology,Phones,647.904,6,56.691599999999966,2015-11
259,2017-12-01,New York City,New York,Technology,Accessories,20.37,3,6.925800000000001,2017-12
265,2016-06-06,Chicago,Illinois,Technology,Phones,328.224,4,28.7196,2016-06
266,2015-11-10,Brentwood,California,Technology,Accessories,79.9,2,35.156000000000006,2015-11
272,2015-07-30,San Francisco,California,Technology,Accessories,209.93,7,92.36920000000002,2015-07
285,2015-09-26,Portland,Oregon,Technology,Accessories,239.80000000000004,5,47.95999999999999,2015-09
292,2016-11-20,Columbus,Ohio,Technology,Accessories,255.98400000000004,2,54.39660000000001,2016-11
315,2014-08-09,Saint Petersburg,Florida,Technology,Phones,178.384,2,22.297999999999973,2014-08
320,2014-11-04,New York City,New York,Technology,Phones,275.94,6,80.0226,2014-11
321,2014-11-04,New York City,New York,Technology,Accessories,360.0,4,129.6,2014-11
325,2016-04-23,Hesperia,California,Technology,Accessories,99.99,1,34.9965,2016-04
327,2016-08-30,Philadelphia,Pennsylvania,Technology,Phones,290.898,3,-67.8762,2016-08
332,2016-04-25,Philadelphia,Pennsylvania,Technology,Phones,82.8,2,-20.700000000000003,2016-04
346,2017-06-15,San Francisco,California,Technology,Phones,47.976,3,4.797600000000003,2017-06
350,2016-09-01,New York City,New York,Technology,Accessories,6.79,1,2.3086,2016-09
384,2015-06-26,Taylor,Michigan,Technology,Accessories,41.9,2,8.799,2015-06
386,2015-11-27,Pembroke Pines,Florida,Technology,Accessories,83.97600000000001,3,-1.049700000000005,2015-11
